GeneID	Length	EpCAM-P-4
214742	1597	177
100038712	2612	47
16510	7143	13
226861	2835	15
320952	2041	0
73455	404	0
214791	3401	82
100503471	624	4
329324	1731	0
215193	5548	126
54139	4125	530
319266	3834	63
215243	2121	5
15483	1446	981
14373	843	0
100503531	873	0
16780	4055	4000
215303	2453	10
387201	68	0
74942	578	0
18845	11036	957
100628615	64	0
12490	2621	281
320400	2491	7
320977	5195	63
723963	81	0
387224	88	0
17221	1213	16
12946	1662	464
12902	6207	2
215728	2801	0
619314	1938	0
670558	2817	69
76142	2524	6837
70337	1540	59
213783	7415	21
270685	4332	9
83397	6247	447
381990	3227	212
66084	1849	61
73419	2290	159
100504234	2151	16
13982	4319	3
64009	18115	248
68632	2777	54
22353	1527	0
67141	1807	87
108853	2621	123
56533	8191	1
100041224	522	0
18390	2639	0
320495	8240	1
215748	3448	281
77777	1819	2
237253	3403	46
18537	1917	482
320642	1253	18
69912	1290	45
407824	2188	45
16798	7215	866
23924	1775	353
215751	1557	739
100503695	916	1
67418	2896	367
237256	4093	24
100628581	94	0
68652	4278	1235
338362	4284	42
70097	7183	861
791352	3151	0
320825	2495	4
620417	2980	0
78808	9074	388
215772	5218	17
67844	2054	37
382450	3785	0
14816	6990	0
78056	444	0
268281	9293	414
71865	5114	281
13853	1079	35
22288	12382	1974
320273	1182	36
74732	2396	25
66125	734	481
22634	5260	442
100862331	414	0
75122	1053	0
353258	1769	244
215789	8913	970
66848	3954	1370
56535	2405	515
66757	1453	44
66253	1054	482
15273	9768	551
100504211	3928	1
215798	6505	236
100039571	514	18
66201	1325	261
69412	910	0
76743	1477	0
18101	1173	1
100504235	3401	0
17684	1969	2695
378431	4457	2
380629	3667	480
73112	810	302
19707	2618	368
100045792	2900	10
215814	1166	100
215819	7638	95
56016	1910	7
215821	8216	370
237300	2355	1
73968	2928	1
64058	1901	448
21929	4595	528
100504265	6220	0
94222	2066	1
15979	2099	793
237310	2468	20
237313	2088	0
76157	2629	11
18634	1894	585
26408	5393	913
17761	3895	823
73811	629	0
621697	592	95
72567	5454	1495
71804	2307	18
29863	4127	1034
52906	5094	160
100038717	3304	0
100504283	1667	0
17863	3777	19
56422	4893	483
73990	1016	0
