GeneID	Length	CD24-L-4
66957	1699	1
116872	1887	0
18788	2047	1
241197	3490	4
20725	3289	168
241201	3353	0
227485	3054	1
319901	5763	139
636808	3915	1
634762	729	0
22099	3040	595
67949	1894	188
76707	7899	352
68204	597	4
81879	9270	815
14633	6708	21
16324	4255	560
100502628	748	0
64143	2277	234
226351	2830	105
226352	7746	752
19258	4707	88
66343	3301	68
226356	2511	180
319229	1924	0
170706	1017	54
13167	745	782
73103	1089	21
68428	3177	50
226359	2000	0
17167	1985	1
13798	2554	0
98452	1580	0
72999	2524	489
70829	7256	219
15564	2019	0
66942	2249	79
100502702	453	0
269109	4630	0
74117	2746	1107
74150	2597	703
71111	2690	80
72585	2047	2
210356	7593	529
107895	3104	157
667090	484	47
72160	2517	58
266645	2303	0
100502745	464	1
72949	3514	627
22625	3936	133
226407	4251	654
226409	4154	29
226412	4812	416
387147	70	0
67812	4093	1120
226413	6166	1
17219	2901	229
226414	2509	576
12767	1814	111
210417	6253	0
100042740	613	13
13137	1324	30
13136	2527	2738
22789	2034	0
12269	1883	1
12270	754	15
18640	9621	1555
226418	3843	152
212439	2909	1004
64435	1911	59
100502856	1065	30
18703	3849	6715
69169	1491	8
93672	1116	0
58181	824	0
329244	1023	0
16153	1306	0
17164	2567	1484
226419	2072	98
16865	2290	460
54354	3405	71
56489	3203	307
14270	8040	581
108900	2105	28
26361	4148	0
13034	2120	1
226421	2523	27
320718	3640	433
212933	3540	93
98396	4660	637
226422	1189	92
98415	6096	824
212980	3426	516
13714	3671	188
213006	4853	280
18557	3046	312
723818	97	0
213409	958	9
213417	4269	266
74137	3132	285
68875	3410	540
213452	6385	505
213464	3632	268
74626	1742	61
21367	9535	1
269116	10379	3
100038653	1879	0
16980	3346	7
17248	3490	629
240752	7929	347
108954	5588	1179
240753	7457	907
100502933	3112	19
68338	1842	60
280287	496	6
19701	1423	0
214253	2279	8
20668	3531	573
20643	492	300
70579	4395	2144
667118	5007	532
240754	2371	9
381290	8292	168
269120	2074	4
116847	3602	1076
100502984	884	0
14264	2859	41
100502999	532	51
12227	3083	10881
667414	432	1
71884	1711	0
12654	1689	6746
53311	1829	27
11539	5786	251
17928	1480	0
68507	6067	20
57439	3169	788
240755	1770	0
72017	1626	388
72674	2024	1085
100861791	590	0
240756	3196	227
98710	1960	191
100503055	641	1
71001	1457	0
75605	6300	626
20980	3386	2
329251	6185	61
67196	1079	24
329252	3623	353
13924	6089	2
100038590	915	0
320139	3264	5
68724	1702	640
171469	2253	3
13710	2000	2448
215615	2301	856
21854	917	239
93689	3942	132
77552	1190	42
226432	6236	515
215690	12767	341
13007	1770	3836
27280	1467	355
21952	1114	0
16763	2992	356
21956	1194	21
18772	4486	40
226438	8996	0
66241	1750	486
12292	6260	21
329253	508	0
16565	9119	284
76422	2922	3
67313	3013	211
100042513	584	0
383563	1960	0
67886	7823	686
320054	2097	15
67997	2228	113
381293	8770	8
71084	1846	0
226442	5275	376
100503460	489	18
100503474	1199	7
667686	385	2
26424	3857	2
320138	3023	0
735252	87	0
723890	80	0
19264	5664	78
338375	1887	0
59125	3366	821
545363	1930	0
